,issueNumber,title,description,FIGDiagnostic,labels,dateMade
61,61,Autocomplete window flickers when pressing down arrow key in fish.,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Screen.Recording.2021-04-23.at.11.06.12.mov
Only happens when using the dotslash completion spec.
Thanks to @jed_fox1 for reporting!
Details:
macOS Fig Shell
10.15.7 Version 1.0.41 (B190) /bin/sh
fig diagnostic",No Fig Diagnostic Found,['type:bug'],"Apr 27, 2021, 7:29 PM PDT"
62,62,Conflict between zsh-autosuggest and Fig,"So basically, let’s say that I have a folder called “Photos” and inside that folder I have another one called “Wallpapers”.
If I previously opened that path with the command:
  $ cd Desktop
  $ cd Photos/Wallpapers
The next time that I type “cd Photos”, zsh-completions/zsh-autosuggestions automatically suggest the following path:
  $ cd Desktop
  $ cd Photos/Wallpapers
while Fig displays the dropdown list where I press Enter to access to /Desktop/Photos.
So what happens is that iTerm successfully access to /Desktop/Photos while the command autosuggested is Photos/Wallpapers.",No Fig Diagnostic Found,"['shell:zsh', 'type:bug']","Apr 27, 2021, 10:57 PM PDT"
63,63,Request: Customize auto completion trigger key,"Description:
Currently you are only able to confirm an autocompletion selection using the Enter key. Muscle memory from many tools, including my IDE that autocomplete have me hitting the right arrow key. Fig does not recognize this key as a selection confirmation.
Would be nice to either customize your trigger keys or have a toggle to allow right arrow key behave similarly to pressing Enter.
Details:
macOS Fig Shell
11.2.3 Version 1.0.40 (B188) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,"['codebase:autocomplete-app', 'type:feature-request']","Apr 28, 2021, 2:32 PM PDT"
64,64,Show custom aliases in autocompletion,"Is your feature request related to a problem? Please describe.
Given an alias defined as such:
alias gc=""git commit -m"" # make a commit with a message (gc [message])
Describe the solution you'd like
I'd love to see the comment parsed and turned into the suggestion at the bottom of the autocomplete window.
I'd also love to see all my aliases listed out in the autocomplete window, so when I start to type g they are selectable.
Describe alternatives you've considered
The only one I can think of is defining the rules around my aliases separately in the fig autocompletion settings. This is not ideal because then I'd be managing them in two spots.
Additional context
N/A",No Fig Diagnostic Found,"['codebase:autocomplete-app', 'type:feature-request']","Apr 29, 2021, 2:47 PM PDT"
65,65,Fig not working on macOS 10.12.6,I get this error after install fig on macOS 10.12.6 high sierra,No Fig Diagnostic Found,"['codebase:macos', 'type:feature-request']","Apr 29, 2021, 2:42 AM PDT"
66,66,Typing lag in VS Code file editor when Fig is installed,"Description:
Not sure when this started happening, but typing in the main file editor part of VS Code lags significantly when Fig is running. This is most noticeable if I hold and press down a single key, e.g. ""a"".
In the clip above, I'm holding down the ""a"" key and then hold backspace. Then I quit Fig, and I again hold down the ""a"" key and then hold backspace (this time there is no lag).
fig-vscode-bug.mov
This happens regardless of:
whether I have the VS Code integrated terminal opened or not
whether the fig VS Code extension is installed or not
Behavior within the integrated terminal is completely normal (no lag, and Fig autocomplete works as expected).
For now I've had to stop using Fig until this is fixed
Details:
macOS Fig Shell
11.3 Version 1.0.40 (B188) /usr/local/bin/zsh
fig diagnostic",No Fig Diagnostic Found,"['terminal:VSCode', 'type:bug']","May 1, 2021, 1:50 AM PDT"
67,67,[Integration] Panic's Nova editor terminal.,"Is your feature request related to a problem? Please describe.
Currently not functional in Nova editor terminal.
Describe the solution you'd like
Would love to see FIG integrated to work in Nova's integrated terminal.
Describe alternatives you've considered
n/a
Additional context
n/a",No Fig Diagnostic Found,['type:integration-request'],"May 1, 2021, 9:10 AM PDT"
68,68,Cannot get Fig working in iTerm2 after re-installation,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Cannot get suggestions from fig. Freshly installed Fig.app. Previously I've uninstalled Fig, now I'm trying to restore it.
I tried to remove ~/.fig folder completely and run install script again, it didn't help.
Details:
macOS Fig Shell
10.16.0 Version 1.0.40 (B188) /bin/sh
fig diagnostic",,['None yet'],"May 1, 2021, 12:01 PM PDT"
69,69,Add xonsh shell support,"Hi! Thank you for the interesting project!
I'm going to create this by reference from Matt Schrage.
Please add the xonsh shell support.
Thanks!
For community
⬇️ Please click the 👍 reaction instead of leaving a +1 or 👍 comment",No Fig Diagnostic Found,['type:integration-request'],"May 3, 2021, 3:08 AM PDT"
70,70,Fig overrides prompt when using pure prompt with fish,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Prompt layout is broken. See image above.
Additionally, there was originally an error message that appeared on each keystroke:
error: Unable to open universal variable file '/Users/mron/.config/fish/fish_variables': Permission denied
It was fixed by updating the permissions.",No Fig Diagnostic Found,"['shell:fish', 'type:bug', 'type:stale']","May 3, 2021, 5:52 PM PDT"
71,71,Grammatical error in initial onboarding,"Summary:
I skimmed the prompt and typed the wrong thing (fig settings instead of just fig or continue) but the error message has a grammatical error. Possibly missing the words ‘than the’, as in ‘other than the Fig command’?
Steps to Reproduce:
Go through initial setup
Type something other than fig or continue when prompted to type one of those things.
Expected Results:
The sentence should say something like: Whoops. Looks like you tried something other than the Fig command.
Actual Results:
Whoops. Looks like you tried something other Fig command
System information:
OS: MacOS Big Sur 11.1
Terminal: iTerm2
Version of Fig: 1.0.40
Additional Notes:",No Fig Diagnostic Found,['type:bug'],"May 5, 2021, 12:10 PM PDT"
72,72,"Fig doesn't ""notice"" a read-only ~/.ssh/config","Summary:
My ~/.ssh/config file was read-only (0400) and Fig claimed that it successfully added the integration when asked to do so during the onboarding process. It also shows a checkmark in the Fig Menu -> Settings -> SSH Integration.
Steps to Reproduce:
chmod 0400 ~/.ssh/config
Install fig
Ask it to enable the SSH integration
Expected Results:
Fig should display an error (hopefully a helpful one!) if it is unable to modify the SSH config file. It should also check (somehow?) that the integration was successful before showing the checkmark in the menu.
Actual Results:
The SSH integration can be broken/not-actually-set, with no user-visible errors or indication.
System information:
OS: MacOS Big Sur 11.1
Terminal: iTerm2
Version of Fig: 1.0.40",No Fig Diagnostic Found,"['codebase:macos', 'integration:ssh', 'type:bug']","May 5, 2021, 12:44 PM PDT"
73,73,Version check window disappears before it can be read.,"Description:
When running a version check, the pop-up window disappears before I can read it.
Details:
macOS Fig Shell
11.4.0 Version 1.0.41 (B206) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['type:bug'],"May 11, 2021, 2:11 PM PDT"
74,74,[Integration] Please add Fig to Sublime's terminus,"Is your feature request related to a problem? Please describe.
I often switch to my regular terminal while using Sublime because it lacks native autocomplete.
Describe the solution you'd like
Adding fig to Sublime's terminus extension would be super helpful
Additional context
This is the Sublime package in reference: https://packagecontrol.io/packages/Terminus",No Fig Diagnostic Found,['type:integration-request'],"May 16, 2021, 7:02 PM PDT"
75,75,Issue with git index.lock,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
I regularly get this error when trying to run git operations:
fatal: Unable to create 'my-project/path/.git/index.lock': File exists.
I don't have a good idea of what is going on, but I know turning fig off fixes the issue every time!
Details:
macOS Fig Shell
11.0.1 Version 1.0.41 (B206) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['type:bug'],"May 17, 2021, 10:04 AM PDT"
76,76,Support configuring the fig checkbox title,"Is your feature request related to a problem? Please describe.
The checkbox in the title [x] fig - blah is handy, but it's very verbose:
Describe the solution you'd like
I'd like to be able to configure it, perhaps using some format similar to the window.title setting in VS Code:
""window.title"": ""${rootName}${separator}${activeEditorShort}${separator}${appName}""
I think ideally I would like to have only the checkbox, either as a prefix or a suffix to the actual title like [x] bash",No Fig Diagnostic Found,['type:feature-request'],"May 19, 2021, 5:17 AM PDT"
77,77,Popover regularly showing on-screen when it has nothing to show,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
fig.mov
I end up turning it off after this for a while
Details:
macOS Fig Shell
10.15.7 Version 1.0.41 (B206) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['type:bug'],"May 20, 2021, 5:13 AM PDT"
78,78,[DOTSLASH] Prioritize executable files,"Is your feature request related to a problem? Please describe.
Normally in bash the .bat file would be ignored when tabbing this because it's not executable:
Describe the solution you'd like
I'd like the file to still show up but as a deprioritized option:",No Fig Diagnostic Found,['None yet'],"May 20, 2021, 6:03 AM PDT"
79,79,Fig Not Working Until Restarted,"@falky97,
As discussed on the call today, making an issue here so that you can look to debug it.
Description:
Fig is configured as an automatically opening application on my Mac.
Whenever I open fig the autocomplete doesn't work.
Need to restart fig for the autocomplete to start functioning.
Might be unrelated but get the 'no internet' error even when I have internet.
For screenshots/ my .zshrc or .zprofile file, please refer to the discord chat.
Will update this issue if I think of anything else.
Details:
macOS Fig Shell
11.3.1 Version 1.0.41 (B206) /bin/zsh
fig diagnostic",,['None yet'],"May 21, 2021, 10:08 PM PDT"
80,80,Fig directory misconfigured,"Description:
I get the ""Fig directory misconfigured"" error. Running the command ~/.fig/tools/install_and_upgrade.sh does not help either. There is no folder named ""tools"". I only have folders named bin and users.
Details:
macOS Fig Shell
11.3.1 Version 1.0.42 (B207) /bin/sh
fig diagnostic",No Fig Diagnostic Found,['type:bug'],"May 24, 2021, 11:53 PM PDT"
